,anxiety_level,self_esteem,mental_health_history,depression,headache,blood_pressure,sleep_quality,breathing_problem,noise_level,living_conditions,safety,basic_needs,academic_performance,study_load,teacher_student_relationship,future_career_concerns,social_support,peer_pressure,extracurricular_activities,bullying,stress_level
anxiety_level,1.0,-0.672745269467341,0.6344496214914743,0.6943403793505077,0.6327375975899171,0.33086692507746285,-0.7102923125841069,0.5616537658742801,0.6086243474126356,-0.5684344219424008,-0.6512197819059766,-0.6370785448475522,-0.6496011296145087,0.5860641792302566,-0.663176472800886,0.7170156316277518,-0.5697478563830496,0.6429101451231729,0.6410218542878167,0.7099815025776223,0.7367954226953097
self_esteem,-0.672745269467341,1.0,-0.603501940287582,-0.699601757141151,-0.6260584586219425,-0.5146919615759684,0.6626928053304494,-0.5105143023219455,-0.5711687372546478,0.550535046965688,0.6439807165437096,0.6312116278114053,0.6390451846501165,-0.5751117016677949,0.6529342801651834,-0.7125195461204591,0.6792109725869435,-0.607117867773477,-0.641201753597699,-0.6407371095563289,-0.7561950866283418
mental_health_history,0.6344496214914743,-0.603501940287582,1.0,0.6158823442183481,0.6048258208356482,0.29561732488924936,-0.614145951105366,0.46434726624919226,0.5152898565494122,-0.5085251662459445,-0.5467312793128096,-0.6011955116678048,-0.5861930649633016,0.5322665244236994,-0.5877277366176663,0.6259094231600872,-0.48255961271680275,0.5806019291712917,0.5545761974692742,0.6243657971517639,0.648643996245449
depression,0.6943403793505077,-0.699601757141151,0.6158823442183481,1.0,0.6576999046747344,0.43608415927979266,-0.6931609071393324,0.5225402160382776,0.56624953380096,-0.5303507309043473,-0.6258571800442265,-0.608776080864136,-0.6331743468183938,0.6024983680021583,-0.6738529549230701,0.7065605984779401,-0.6179719650789287,0.6355437219649265,0.6485505920115457,0.6657898767466098,0.7343785737506857
headache,0.6327375975899171,-0.6260584586219425,0.6048258208356482,0.6576999046747344,1.0,0.361986250875138,-0.6387708500001316,0.46171876788904814,0.5435572607087789,-0.5328251117263458,-0.5891364892845096,-0.6231989189828298,-0.6220585464446517,0.5428896848551974,-0.6259281685390422,0.6793072406283837,-0.5729879421073778,0.622580710149101,0.5825619152658279,0.6097754993351211,0.7134840400213877
blood_pressure,0.33086692507746285,-0.5146919615759684,0.29561732488924936,0.43608415927979266,0.361986250875138,1.0,-0.30032340185267337,0.16230840582892772,0.3527439819596135,-0.27468554716709404,-0.2883535728245062,-0.2805899855164803,-0.26278539184992156,0.3489643422777945,-0.3521229608939073,0.434087401048761,-0.752530957361663,0.40139210879199494,0.42625449703836743,0.3704402130446618,0.39419986264664786
sleep_quality,-0.7102923125841069,0.6626928053304494,-0.614145951105366,-0.6931609071393324,-0.6387708500001316,-0.30032340185267337,1.0,-0.5416866352334442,-0.5766454579118375,0.5354615182651588,0.65768633691879,0.6209546973891601,0.671326304338475,-0.5517750679568209,0.6775691162917433,-0.6821297639221524,0.5545530895099552,-0.6490981305134549,-0.6230923223579322,-0.699427162316215,-0.7490678608072432
breathing_problem,0.5616537658742801,-0.5105143023219455,0.46434726624919226,0.5225402160382776,0.46171876788904814,0.16230840582892772,-0.5416866352334442,1.0,0.459234522225614,-0.44899700085072247,-0.519347563591092,-0.5081720761109011,-0.5072508752453608,0.4287909731601985,-0.4988945276350669,0.5453450637328859,-0.36517337692248864,0.49272879329804675,0.516884360723989,0.576340821792501,0.5739836669821395
noise_level,0.6086243474126356,-0.5711687372546478,0.5152898565494122,0.56624953380096,0.5435572607087789,0.3527439819596135,-0.5766454579118375,0.459234522225614,1.0,-0.4523616014891302,-0.5366296307077917,-0.5723266182999934,-0.5137298080723818,0.49362536657997597,-0.5387583352267199,0.5754390805135647,-0.49209403369588606,0.5838173194909133,0.5636135596463538,0.5854582790912068,0.6633713207736834
living_conditions,-0.5684344219424008,0.550535046965688,-0.5085251662459445,-0.5303507309043473,-0.5328251117263458,-0.27468554716709404,0.5354615182651588,-0.44899700085072247,-0.4523616014891302,1.0,0.5635709654584945,0.5032750416523917,0.5072206143731451,-0.4377324722630736,0.54933164872219,-0.5650713214241542,0.46659420446851874,-0.501794607013878,-0.5157935545851978,-0.5511387477988138,-0.5817230764553161
